gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
ACTB,3253.586664177494,0.9999999999999692,1,ACTB,5534.9785,6915.549,0.26690578,6.304873761297753,2.7058756643721283e-09,0.1378393852962525,0.1378393852962525,0.1378393852962525,9155,B_tda_only
RPS6,3204.066989638136,0.9847799737180275,2,RPS6,5574.9653,4042.0732,-0.5339947,-9.392944406988423,9.393675966942331e-17,-0.2215275402812176,0.2215275402812176,0.2215275402812176,5410,B_tda_only
ACTG1,3180.620192258752,0.9775735274790088,3,ACTG1,3323.1943,4807.8135,0.5156517,10.360410108359371,6.0730363906288e-19,0.2788106393299014,0.2788106393299014,0.2788106393299014,3785,B_tda_only
RPL23AP7,3019.377457665618,0.9280150705402596,4,RPL23AP7,8.369576,7.0699296,-0.25588107,-7.100538283753582,4.18546115381016e-11,-0.1601414748184443,0.1601414748184443,0.1601414748184443,8022,B_tda_only
RRAGB,3012.0733985308793,0.9257701452044272,5,RRAGB,24.657845,21.441685,-0.28196335,-8.070074069570975,5.4353041879054186e-14,-0.1382175335219338,0.1382175335219338,0.1382175335219338,9135,B_tda_only
RPS6KC1,3003.1701397606507,0.9230337008772315,6,RPS6KC1,20.501719,25.48566,0.1998887,5.137031149049009,6.686053456204198e-07,0.0922922928214995,0.0922922928214995,0.0922922928214995,11833,B_tda_only
GNG5,2992.8396209417374,0.9198585837264717,7,GNG5,143.21036,223.28389,0.53323126,17.62635603340771,2.9119035407161726e-48,0.2447401935169556,0.2447401935169556,0.2447401935169556,4704,B_tda_only
EFCAB3,2689.09066295066,0.8265003949511757,8,EFCAB3,0.08960648,0.17911379,-0.0037873536,-0.2651901552530959,0.7910201789601027,-0.0035979762990599,0.0035979762990599,0.0035979762990599,20420,B_tda_only
RPP14,2526.674173087627,0.7765811806725892,9,RPP14,22.850714,19.09037,-0.28131008,-8.249391282288224,5.784150179238317e-14,-0.1806575611525897,0.1806575611525897,0.1806575611525897,7042,B_tda_only
UBE2I,2256.9034983414144,0.6936663231350838,10,UBE2I,82.50936,107.47003,0.32183075,11.719404307041556,1.0149437145829211e-24,0.198495440094742,0.198495440094742,0.198495440094742,6276,B_tda_only
PGC,2199.85848982018,0.6761333620035094,11,PGC,2.0660043,3.6628833,-0.012951195,-0.1152391596387043,0.9084286921378452,-0.0034454477094432,0.0034454477094432,0.0034454477094432,20445,B_tda_only
CFLAR-AS1,2094.8804259264284,0.6438680269351145,12,CFLAR-AS1,0.87625796,0.80280906,-0.41554862,-9.385070300787438,5.60481452816835e-17,-0.1996148419080977,0.1996148419080977,0.1996148419080977,6241,B_tda_only
RPRM,1837.7527553045786,0.5648390361131215,13,RPRM,0.39556074,0.8849606,0.046797663,1.2664319873448506,0.2063727759320271,0.0183962410067665,0.0183962410067665,0.0183962410067665,18613,B_tda_only
RPRML,1742.7756824392118,0.535647536802199,14,RPRML,0.18481492,0.34257686,-0.02797179,-0.9705953788817512,0.3327640141931627,-0.0157697106153935,0.0157697106153935,0.0157697106153935,18970,B_tda_only
RPL23AP53,1664.091896681748,0.5114638300567226,15,RPL23AP53,6.2414904,4.085141,-0.5763693,-11.760193776472429,3.356835888859397e-23,-0.2616257023283949,0.2616257023283949,0.2616257023283949,4237,B_tda_only
PABPN1L,1348.9756008815293,0.4146118545831047,16,PABPN1L,0.07315491,0.11449606,0.03787239,3.276455785590564,0.001207277087733,0.0521955544197618,0.0521955544197618,0.0521955544197618,14844,B_tda_only
ALDOA,1341.1835161047354,0.41221693304541035,17,ALDOA,663.85516,1294.0507,0.87499046,16.803452327892586,1.8311753239723295e-38,0.3156658410742164,0.3156658410742164,0.3156658410742164,2905,B_tda_only
HSPB9,1323.7762285870585,0.4068667489825934,18,HSPB9,0.703179,0.8531782,-0.0035642385,-0.0954995326803454,0.924020160430682,-0.001793833181506,0.001793833181506,0.001793833181506,20658,B_tda_only
OCIAD2,1297.0697216406184,0.39865842085029485,19,OCIAD2,83.748215,157.48074,0.92308235,12.54788876921839,4.233263795846242e-24,0.3805635129135562,0.3805635129135562,0.3805635129135562,1834,B_tda_only
PTPN11,1218.7570706615202,0.37458878353547226,20,PTPN11,95.882965,60.771988,-0.68081903,-11.24971829860739,1.7852262805652108e-21,-0.2759573636836088,0.2759573636836088,0.2759573636836088,3840,B_tda_only
CD82,1204.207420212662,0.37011690313067114,21,CD82,109.23521,94.17715,-0.4570036,-5.5549300192458695,1.059988479865268e-07,-0.1140238955978545,0.1140238955978545,0.1140238955978545,10469,B_tda_only
ANXA2P2,1194.8096944936374,0.36722848284591436,22,ANXA2P2,1370.8998,1123.9794,-0.34736538,-6.012475200724855,1.3060864668994756e-08,-0.1403256146529575,0.1403256146529575,0.1403256146529575,9024,B_tda_only
PLA2G15,1113.7504547906126,0.3423146729279253,23,PLA2G15,25.874073,30.779362,0.20952225,4.8061821555262405,3.658106004425324e-06,0.1121934700756076,0.1121934700756076,0.1121934700756076,10560,B_tda_only
PGAP1,1024.9092417953204,0.3150090492685203,24,PGAP1,7.395265,3.7418897,-0.9516908,-14.6040171405506,8.420607042825464e-31,-0.3225215773164473,0.3225215773164473,0.3225215773164473,2773,B_tda_only
ENOX2,1020.8486077754773,0.3137610007488508,25,ENOX2,13.02248,11.355888,-0.2500527,-7.089572511850388,2.946072198388593e-11,-0.1364138476374506,0.1364138476374506,0.1364138476374506,9227,B_tda_only
TMCO2,921.4248256590137,0.28320279149285277,26,TMCO2,0.047668476,0.067026965,0.020077221,2.1500180857475124,0.0328580054764309,0.0409327425386693,0.0409327425386693,0.0409327425386693,15923,B_tda_only
CP,861.186496237721,0.26468835323167955,27,CP,27.093786,36.32245,-1.0781643,-6.9628945119781305,6.172455965180216e-11,-0.13536118127215,0.13536118127215,0.13536118127215,9287,B_tda_only
